words,character
When we first materialised. ,KIRK
"Less than seven thousand to one, Captain. It's remarkable we've got this far. ",SPOCK
Discontinue. Contact remaining outposts. Have them signal us any sightings or sensor readings in their area. ,KIRK
Nothing lethal about light. ,MCCOY
"The probability is he's responsible for the destruction of the Antares, which would indicate a total disregard for human life. ",SPOCK
"If she is to survive, we can't attack. ",KIRK
Stand back. ,KIRK
On the double. ,KIRK
"I don't know, Jim. ",MCCOY
(looks at monitor) You? Spinoza? ,KIRK
"Mister Chekov, plot a course for the Benecia Colony. ",KIRK
Only such minor disturbances as are inevitable when humans are involved. ,SPOCK
"Prepare phaser banks one and two, Mister Sulu. ",KIRK
"The fact that my internal arrangement differs from yours, Doctor, pleases me no end. ",SPOCK
We're all getting away. ,KIRK
"It's time for action, gentlemen. Mister Bailey  BAILEY: Bridge to Phaser Gun Crew KIRK: Countermand. I'll select what kind of action.",KIRK
"A disaster for the galaxy, Captain. The central brain is damaged. The memory core is burned out. The loss to the galaxy may be irretrievable. ",SPOCK
Put it on audio. ,KIRK
I have an idea. What if he is really Apollo? ,KIRK
"He's all yours, Plum. Doctor McCoy. ",KIRK
Obviously a man of good taste. ,KIRK
What are they? ,KIRK
The M-5 must be destroyed. ,KIRK
"On our way, Lieutenant. I'll hold you to that half second, Scotty.",KIRK
"Mister Spock, immediate past history of the quadrant? ",KIRK
"(into communicator) That's right, Lieutenant. Just beam it down to me immediately, and never mind what I want it for. I just want it! Now move! ",MCCOY
I must confess that I too am moved emotionally. I know it is illogical. ,SPOCK
You don't have the choice. ,MCCOY
"I do not know, Captain. I'm beginning to understand its operating principles, but that is all. ",SPOCK
"As soon as we get out of the way, beam the body up. ",KIRK
There must be no delay. ,KIRK
You've not yet explained the nature of this thing. ,SPOCK
"Your logic was impeccable, Captain. We are in grave danger. ",SPOCK
"Totally illogical. Yesterday, without apparent cause or reason, they wrought total havoc. Yet today, now  KIRK: Now they're back to normal. ",SPOCK
Why? Because your people have nothing of your own? Is that why you need us? ,KIRK
"Well, drink it down, Spock. It's the human thing to do. That's a medical order, Captain. ",MCCOY
Regarding our patients? ,MCCOY
"I would, but unfortunately we're out of communications range. ",KIRK
"Here, Captain. Over here, Captain. (into communicator as Kirk joins him.) Spock to Enterprise. ",SPOCK
"If Vanna doesn't have something definite to gain for her people, she'll die rather than turn over that zenite consignment. This is the only thing that might convince her. ",KIRK
Everyone accounted for? ,KIRK
"I resist that suggestion, Commodore. ",SPOCK
"Captain Kirk, I presume. ",SPOCK
Mudd. And he has Christine. She's in danger. My love. ,SPOCK
Yes. That would answer a lot of questions. ,KIRK
"Captain, transporter operational, but just barely. ",SPOCK
How?,KIRK
Controls activated. ,KIRK
"That is, of course, your affair. Captain, may I inquire if you intend to persist in your unusual course of action regarding the Halkans? ",SPOCK
Energise.,KIRK
"Perhaps you can, Mister  ATOZ: Mister Atoz. I confess that I'm a little surprised to see you. I had thought that everyone had long since gone.",KIRK
"Thank you, Doctor McCoy. Moving on schedule into quadrant nine oh four. Beta Six is eight days distant. ",SPOCK
Spock out.,SPOCK
"Yes, but what you're after is a royal fizzbin, but the odds in getting a royal fizzbin are astron. Spock, what are the odds in getting a royal fizzbin? ",KIRK
Kirk to Enterprise. ,KIRK
You? What happened before you came here? Try to remember. It's important. ,KIRK
Fascinating. Two irrevocably hostile humanoids. ,SPOCK
"Very well indeed, thank you, Captain. ",SPOCK
Can he do it? ,KIRK
"Lieutenant Uhura, send a security team to the pressure doors on the hangar deck. ",KIRK
He had his escape planned. I'm glad he made it. Kirk to Enterprise. ,KIRK
There is no need. ,SPOCK
"According to our computer files, Jones, you are in violation of three Federation mandates and forty seven local ones. You're confined until we complete our mission. Then we'll turn you over to the proper authorities. ",KIRK
"All right, Bones, I'm going up to the Bridge. Keep me posted.",KIRK
This is Spock. ,SPOCK
What has happened? ,KIRK
"If they're all right, they should've reported in. ",MCCOY
Scanner readings? ,KIRK
Belay that order. I'll stay here. ,KIRK
"Spock, you've got something? ",KIRK
"Energise, Captain. ",SPOCK
You refer to the humanoid? ,SPOCK
"Jim, if a man had a child who'd gone antisocial, killed perhaps, he'd still tend to protect that child. ",MCCOY
Please commence. I'll explain. ,SPOCK
"Take a look at Lazarus. One minute he's at the point of death, the next he's alive, well, strong as a bull. ",KIRK
"Too late. All of this, just an illusion. ",MCCOY
"Dead, Jim. Strange. A red mottling all over his face. ",MCCOY
"Do not give up hope. Lieutenant Uhura, contact Starfleet Command. Demand an immediate reply to our request for permission to beam down to Gideon. ",SPOCK
"Wrong again, Oxmyx. ",KIRK
"That is the problem, sir. ",KIRK
"You could learn something from Mister Spock, Doctor. Stop thinking with your glands. We've equipment aboard the Enterprise that could pinpoint a match lit anywhere on this planet, or the heat of a body. Transporter room, Kirk speaking. Three to beam up.",KIRK
Sounds typical of the Elasians. The scientists who made the initial investigation reported the men were vicious and arrogant. ,SPOCK
"We're all aware of the need for salt on a hot and arid planet like this, Professor, but it's a mystery, and I don't like mysteries.",KIRK
Will it leave a margin of safety for the people below? ,MCCOY
"Scotty, that bomb he planted. Can you dismantle it? ",KIRK
It worked. ,KIRK
I say I'm Captain Kirk of the USS Enterprise. Who are you? ,KIRK
Which is? ,KIRK
Jim. ,MCCOY
I'll check her out. Maybe I can help. ,MCCOY
This is crazy. Our own computer's declared war on us and I haven't the slightest idea why. ,KIRK
"We've triggered something, all right. His heart beat's increasing. Now passing eight beats per minute. There are some signs of respiration beginning. ",MCCOY
Of course. But there's something so very disturbing about her. ,MCCOY
"Kirk here. How are they holding out, Scotty? ",KIRK
"Captain, are you all right? ",SPOCK
"Kirk to Enterprise, come in. ",KIRK
"It is for them, Doctor. Vulcan, like Earth, had its aggressive colonising period. Savage, even by Earth standards. And if Romulans retain this martial philosophy, then weakness is something we dare not show. ",SPOCK
"Not at the moment, sir. I am conducting various tests with the tricorder, but results are inconclusive. ",SPOCK
Spock here.,SPOCK
"Completed, Captain. The adjustments are delicate. They may not survive more than even one use. However, there should be sufficient energy to transfer us to the Enterprise. ",SPOCK
"Look, these people are my friends and my shipmates. I intend to continue the ship's search for them until the last possible moment. ",KIRK
"Well, you won't read them by killing yourself. You've hardly eaten or slept for weeks. Now if you don't let up, you're going to collapse. ",MCCOY
"My feelings are not a subject for discussion, Doctor. ",SPOCK
Weren't orbital nuclear devices one of this era's greatest problems? ,KIRK
"The Clantons lost, Mister Chekov. ",KIRK
"Let's get him to the Transporter Room, quick! ",KIRK
But we don't steal space cruisers and act like irresponsible children. KIRK: What makes you so sympathetic toward them? ,KIRK
"Stand by, Scotty. ",KIRK
You're also charged with operation of a vessel without a master's license. ,KIRK
"Their engines are seriously overheating, Captain. ",SPOCK
Why risk your life for his? ,SPOCK
"Lieutenant Rahda, report to the bridge immediately.",SPOCK
Energise. ,KIRK
"Status report, Scotty. ",KIRK
Then bypass the relays and go to manual control. ,SPOCK
"Captain, some of the memory banks of the computer are burned out. ",SPOCK
"Only of the result, not of the cause. In each case, a different area of the brain was affected. Our voluntary nerve functions were under some form of pressure. ",SPOCK
I shall not attempt to voice the quality of respect and admiration which Captain Kirk commanded. Each of you must evaluate the loss in the privacy of your own thoughts. ,SPOCK
Not true. I haven't been to the Sickbay. Let's find out what's going on.,KIRK
"Opinion, Mister Walking Bear. ",KIRK
"They've also extended an invitation to all personnel to come ashore, for shore leave. They've assured me that our people will have a wonderful time. ",KIRK
"Ah, yes. Take care of that oversight, will you, Mister Sulu? ",KIRK
"Where is he? Scotty, where's Doctor Daystrom?",KIRK
For one thing it means we're stranded. ,KIRK
Jim? Are you all right? ,MCCOY
"At their present force, they will get through the shields this time, Captain. ",SPOCK
I'm curious. How did the Oracle punish the old man? ,MCCOY
How? ,MCCOY
Let's go. ,KIRK
And you were unaccounted for when Lieutenant Tracy was murdered. ,KIRK
"You'll get your chance, but you'll do it under orders. ",KIRK
"No doubt, Captain. ",SPOCK
"But dilithium molecules are the hardest, most rigid  GABLER: Mister Scott! More trouble with the circuit work. ",KIRK
"I think it's wrong, too, replacing men with mindless machines. ",MCCOY
You've killed thousands of her children. ,KIRK
"There is no alternative, Doctor. The safety of the crew is now the paramount issue. It is misguided loyalty to resist any further. ",SPOCK
You're not Andorian. Who are you? ,KIRK
"Mister Sulu, status, alien vessel.",KIRK
"All right, you mutinous, disloyal, computerised, half-breed, we'll see about you deserting my ship. ",KIRK
Fine time to ring the dinner bell. ,MCCOY
Request opening in your force field for beaming down of cargo.,KIRK
"You did, long ago, when it was needed most. Our people were children then. Kukulkan, we've grown up now. We don't need you anymore.",KIRK
"Scotty, I need your approval, too. Since you'll work with them, furnishing them all they need to make the android robots. ",KIRK
"Yes, Eleen. Remarkable young lady. ",KIRK
"Then use your imagination. Tie every ounce of power the ship has into the impulse engines. Discard the warp drive nacelles if you have to, and crack out of there with the main section, but get that ship out of there! ",KIRK
"His neck was broken, Mister Ambassador, by what Spock describes as tal-shaya. ",MCCOY
Co-ordinates? ,KIRK
"But if the situation calls for it, we kill, is that clear? ",KIRK
What is it you want? ,KIRK
"We are dealing with a silicon creature of the deep rocks, capable of moving through solid rock as easily as we move through the air. ",SPOCK
Carelessness with the equipment cannot be tolerated. ,SPOCK
Where's Mister Seven? ,KIRK
You understand that Starfleet Command has been advised of the situation? ,KIRK
"No, not all the time. Captain, he left us for a few moments. ",SPOCK
Both. How many of these did Uhura give you? ,KIRK
Then reverse mutation is possible. ,KIRK
"I believe it is not a natural object, but a ship. ",SPOCK
(checking tablets) Salt. ,MCCOY
Too quickly. Bridge. ,KIRK
You all right? ,KIRK
And Mister Spock? ,KIRK
There is no regulation regarding the content of my statement.,SPOCK
Any reply?,KIRK
"The Bridge is yours, Mister Spock. Care to join the landing party, Doctor? ",KIRK
Results also negative. ,MCCOY
"(coming in from rear compartment) This should save us at least fifty pounds, Mister Spock. ",MCCOY
"Yes, he did your job. ",KIRK
Ninety? ,KIRK
He's sneaked power down a bit.,SPOCK
"Well, the only difference in reports and recommendations is the landing party personnel. That's only a matter of judgment. ",KIRK
But that could take days. ,MCCOY
"Go through the transporter, both of us. ",KIRK
Done. (they shake on it) What do we do? ,KIRK
"Jim, you don't mean you're going to abandon the mapping mission to check out some meaningless signal? ",MCCOY
Tapping its energy cells. ,KIRK
"I have them, Captain. Closing off deck fourteen, search in progress.",SPOCK
Scotty. ,MCCOY
"Yes, well, I don't make those decisions. Mister Lurry is in charge of those matters. ",KIRK
Like yourselves. ,KIRK
"We're going to board her. Mister Spock, you're in command. ",KIRK
"To hide from a sensor scan, it would have to be able to change its molecular structure, like gold changing itself to lead or wood changing itself to ivory. ",SPOCK
What? ,MCCOY
"Thirty seconds ago, there wasn't a cloud in the sky. ",KIRK
We are prepared to beam you aboard our ship. ,KIRK
Large prints. The ape-like carnivore in the reports? ,SPOCK
Kirk here. ,KIRK
Television was the colloquial term. ,SPOCK
"Yes, and the food they have gathered is Bem. ",KIRK
"Better say, what is he? I monitored him, and what I found was unbelievable. ",MCCOY
"Easy now. Oh, he's caught it! ",MCCOY
How do you know? ,KIRK
"Make sure it does, Spock. If we don't tranquillise them, we'll have to fight them. ",KIRK
(a whisper) You gave them to the Klingons? ,KIRK
"Or what he felt. Damage report, Scotty? ",KIRK
Unusual eye arrangement. I might've known he'd turn up with something like that. ,MCCOY
"Phaser banks, lock on. Return fire. Maintain firing rate. One hundred percent dispersal pattern. ",KIRK
"Blame McCoy. That was no tri-ox compound he shot me with. He slipped in a neural paralyser. Knocked me out, simulated death. ",KIRK
"Captain, the element of chance can virtually be eliminated by a civilisation as advanced as the Vians. ",SPOCK
Which supports a theory I've been formulating. ,SPOCK
Your actions all but lost us our ship. ,KIRK
"Lieutenant Uhura, have Doctor McCoy report to the transporter room in ten minutes with standard landing party equipment. ",KIRK
"Very well. I order you to release crewmembers McCoy, Sulu and Uhura immediately. ",KIRK
"I cannot tell you at this time, sir.",SPOCK
"Negative, Captain. We've had that area on scanners constantly. ",SPOCK
I suspected you would go. You are worried about the kahs-wan ordeal. ,SPOCK
You and your Garden of Eden. ,MCCOY
"No, Miramanee, there's no one else in my mind or my heart. ",KIRK
"And my dear friend Scotty. And that pretty little Lieutenant Uhura. I've saved just about everybody on this here ship. If the Enterprise had a heart, I'd save her too. Now, let's talk about your heart, my dear. ",MCCOY
And apparently commanding powers far beyond our comprehension.,SPOCK
"Captain. Captain, in three weeks at this rate, possibly a month, I might reach the first mnemonic memory circuits. ",SPOCK
"That's enough, Charlie. ",KIRK
And they were correct. I'm on board an exact duplicate of the Enterprise. ,SPOCK
"Agreed. Totally alien. And I don't like hostile strangers showing such an acute interest in our galaxy, our world, Spock. Not at all like friendly visitors. We're going to have to stop them, cold. But at the moment  SPOCK: I, too, am at a loss at this time to suggest a course of action.",KIRK
What about the comet that astrophysics reported? ,KIRK
Bridge to Sickbay. Casualty report. ,KIRK
"Good news, Mister Scott. The Eminians have agreed to the establishment of full normal diplomatic relations. ",KIRK
"Doctor, didn't the boy make any reference at all to Thasians? ",SPOCK
Would I be on the edge of insubordination to remind the captain that this smells of something happening to him that I might not be able to patch together again? ,MCCOY
Thank you. ,KIRK
Fascinating. No world in the Federation has produced anything so powerful. Almost beyond theoretical limits. Total conversion of matter to energy at a distance. ,SPOCK
"Understood, Captain. Transporter room. ",SPOCK
"But you have the ryetalyn that we need! If necessary, we'll take it. ",KIRK
"It was not deliberate, I assure you. ",KIRK
That could be what destroyed him. ,KIRK
Why not all three? ,KIRK
"Well, unless they treat their tribbles too, that ship isn't going to be big enough for all of them. ",MCCOY
Captain. ,SPOCK
Jim. This is senseless. I've thought it over. I'm staying. ,MCCOY
Main screen. Extreme magnification. ,KIRK
"One hundred twenty two thousand two hundred  KIRK: Never mind. But thanks. Kaplan, take the post. ",SPOCK
"Yes, she is. And you've been out of circulation quite a while.",KIRK
"Full ahead. All decks, condition red. ",KIRK
"At another place in time, I think. If we check closely, I believe we'll find many of those ships are the ones designated as lost in the Delta Triangle. ",KIRK
He's cut off both helm and power.,KIRK
"I can afford even less to lose the Enterprise. Open the hailing frequency again, Lieutenant. Captain Koloth. I'm going to give you one last chance to release the Enterprise. ",KIRK
It's pretty hard to overcome prejudice. ,MCCOY
"Make it fast, Ben. I may have to go to Red Alert. ",KIRK
You're off course. I'm coming right up. ,KIRK
Could he be retrained to forget his family? His children? ,KIRK
I suppose most of us overlook the fact that even Vulcans aren't indestructible. ,KIRK
His neck was broken. By an expert. ,MCCOY
"Lieutenant, may I offer my congratulations on what will be your first assignment for the Federation? ",KIRK
"Spock, ask Scotty how long it would take him to reproduce a hundred flintlocks. ",KIRK
You're afraid to talk in front of Governor Cory? ,KIRK
"I am getting readings on small metallic objects, Captain. It is possible the ship was destroyed in space and the survivors proceeded here in a shuttle craft. ",SPOCK
"A plague, Captain. That could explain a lot of it. ",MCCOY
"You have less than two hours, Councilman. ",KIRK
Let me speak to you! ,KIRK
That's right. ,KIRK
The fool. Starfleet should be made aware. ,KIRK
"I register a disturbance, Captain. As if an impulse just passed through the ship. ",SPOCK
"The so-called girl is a Rigelian hypnoid, projecting a simple illusion. ",SPOCK
Oh? ,KIRK
Chekov is dead because he believed the bullets would kill him. ,KIRK
He'll have more casualty lists than he knows what to do with if he doesn't get in here and talk to me. ,KIRK
"It is obvious that you have surmised my problem, Doctor. My compliments on your insight. Captain, there is a thing that happens to Vulcans at this time. Almost an insanity, which you would no doubt find distasteful. ",SPOCK
Me? I don't want the job. ,KIRK
"Look out, Jim! ",MCCOY
It petrifies me. ,KIRK
"Well, he has a magnetism. Almost electric. You felt it. And it could over power McGivers with her preoccupation with the past. ",MCCOY
Kirk here. ,KIRK
Execute. ,KIRK
"Your instincts are still good, Mister Spock. The captain is dead.",MCCOY
Hold your fire. ,KIRK
"A short time, Mister Spock. We have very little. ",KIRK
But I don't know how. ,MCCOY
"Spock, I, er, I'm sorry. It does hurt, doesn't it? ",MCCOY
"When in doubt, the book prevails, Mister Spock. I've run tests.",MCCOY
Not with the Earps. There is one other place I can try. ,KIRK
It would seem so. ,SPOCK
Bridge to transporter room. ,KIRK
Out! ,KIRK
Is that door secure? ,KIRK
"Spock, are you slumping? ",KIRK
This is Captain James Tiberius Kirk calling the ruling intelligence of this planet. Do you hear me? Kirk to entity. Kirk to entity. ,KIRK
"Undeveloped. Sherman's Planet is claimed by both sides, our Federation and the Klingon Empire. We do have the better claim. ",SPOCK
Bring them in. ,KIRK
"Yes, er, incredible. ",KIRK
Killing Lieutenant Romaine? ,KIRK
Intelligence different from ours or superior?,KIRK
True. It is also true they never knew what was killing them.,SPOCK
This communicator's been on my belt since we beamed down. ,KIRK
I was preoccupied. ,KIRK
Who are you? ,KIRK
And you won't find a tribble on this entire ship. ,MCCOY
"Jim  SPOCK: Captain, I  KIRK: Gentlemen, I'll decide.",MCCOY
Blind panic. ,KIRK
"Landru, answer the question. ",KIRK
"This one appears to be strengthened by mental irradiations of hostility, violent intentions. ",SPOCK
"All plotted but one, Captain. Coming up on it now. Seems to be fairly heavy displacement. ",SPOCK
"Those round silicon nodules that you've been collecting and destroying? They're her eggs. Tell them, Mister Spock. ",KIRK
Holding me won't help you. My men'll still come for that zenite consignment. ,KIRK
"May I remind you, we did not intend to fight. ",SPOCK
Please do. ,SPOCK
"All right, Mister Scott, energise. ",KIRK
"That is exactly what it is, Mister Chekov. ",SPOCK
"None. However, if they had such power, would they not have used it to create more effective weapons and only for themselves? ",SPOCK
"Maybe that's the trouble. Where do you go from up? You publish articles, you give lectures, then spend your life trying to recapture past glory. ",MCCOY
Let's get out of here. ,KIRK
"My crime is sabotage. I freely admit my guilt. (Scott is continuing to work) The oath I swore as a Starfleet officer is both specific and binding. As long as I wear the uniform, my duty is to protect the security of the Federation. Clearly, your new cloaking device is a threat to that security. I carried out my duty. ",SPOCK
A message from three hundred million years ago? ,MCCOY
Nor do we understand what happened to the guard at the citadel. ,SPOCK
She seems fine now. ,MCCOY
We? ,KIRK
Positive identification? ,KIRK
"Can you give us your present location, Captain? ",SPOCK
"In the late nineteenth century in Arizona, two factions fought for control of the town of Tombstone. The Earps, Morgan, Virgil and Wyatt, who were the town marshals, along with Doc Holliday. ",KIRK
"Spock, give me an update on the dark area ahead. ",KIRK
And what about Yeoman Janice? Is she dead? Gone? Destroyed? ,KIRK
How can a planet full of people just disappear? ,MCCOY
"Captain, there it is. ",SPOCK
"A time portal, Captain. A gateway to other times and dimensions, if I'm correct. ",SPOCK
"I want a complete medical examination, Bones. Something's just happened  MCCOY: I'm afraid I'll have to make it later today, Captain. I have too many tests to process right now. ",KIRK
"Lieutenant Arex, activate main screen, extreme magnification. ",KIRK
McCoy out. ,MCCOY
Energise. ,KIRK
Oh. You will pardon us. ,MCCOY
Apparently the body functioning weakened during the duplication process. A fact I failed to consider. ,MCCOY
"Good, Scotty. Continue scanning. We'll maintain transmission.",KIRK
A dead and buried city on a planet in a glacial age. ,KIRK
"Sulu's picked up an organism that's almost a virus, like a a plant parasite. It's the nearest biological form of life I can find. ",MCCOY
"Lieutenant Sulu, do you feel strong enough to move about? ",KIRK
But I can't do anything about the wind or the sky. ,KIRK
"We are considered simplistic, but in the process of evolving into a higher order. ",SPOCK
(to redshirts) Try again. See if you can find anything outside.,KIRK
Exactly what is it that I'm expected to select? ,SPOCK
What caused the red alert? ,KIRK
"I don't know what these plants are or how they work, but you're all going back to the settlement with me, and those colonists are going aboard the ship. ",KIRK
"Captain, scientifically  KIRK: You'll both be filing reports. Make your comments and recommendations then.",SPOCK
Do we have emergency warp? ,KIRK
"Go ahead, Doctor. Put the Teacher on. ",KIRK
"I want to know who started it. I'm waiting. Freeman, who started the fight? ",KIRK
"I have the autopsy report on Marvick. Heart action stopped, cause unknown. Respiration stopped, cause unknown.",MCCOY
"In that case, it's the worst possible decision you can make, Spock. ",MCCOY
You must help us. You must restore with that knowledge what you have taken. ,KIRK
"Your figures are, of course, accurate. ",KIRK
Kirk here. ,KIRK
"If Mitchell gets out, at your discretion, Lee, if sitting here, you think you're the last chance, I want you to hit that button.",KIRK
I'll discuss that only with him. ,KIRK
"Captain, we must get off this bridge. ",SPOCK
What's the problem? ,KIRK
Bones! ,KIRK
Affirmative. It fled the ship when it thought we would crash into the dead star. ,SPOCK
Get ready to move. We've got to follow Spock inside that trapdoor. ,KIRK
"Lieutenant, the Enterprise received two messages, ostensibly from Cestus Three. One for the Enterprise to go there, and the other for myself and my tactical crew to beam down to the surface.",KIRK
"Spock to Enterprise, come in. ",SPOCK
Can we discuss it here? ,MCCOY
You issued a priority one distress call for a couple of tons of wheat? ,KIRK
"Due to your error, Mister Kyle? ",SPOCK
Good. Then you wouldn't mind if we looked around? ,KIRK
Why not? ,KIRK
Got to get McCoy. ,KIRK
He beamed up to the ship with us. ,KIRK
Not alone. I'm taking some security people with me. ,KIRK
Jim. ,MCCOY
"Stand by your phasers, Mister Spock. Prepare to fire on my signal. Kirk out. ",KIRK
That planet it is a myth. ,KIRK
"Yes, we can. ",KIRK
"This is very curious, Captain. It computes as a strange combination of matter and energy. ",SPOCK
Spock! ,KIRK
That's not so. He was my friend. ,KIRK
You're right. He's not one of us. ,KIRK
I'm a stranger. ,KIRK
We go together or not at all. ,SPOCK
Let's go. ,KIRK
"No, but we know what it is and how fast it does it. It's progressing. We'll begin to feel it inside soon. Intense fever, great pain in the extremities, fuzziness of vision. Of course, those are the early symptoms. There'll be more. ",MCCOY
"I understand the feeling, Captain. ",SPOCK
Bob. Is the evacuation proceeding? ,KIRK
"Several times, Captain. I do not wish to surrender hope, but the facts remain unchangeable. ",SPOCK
We can take an educated guess. At the point we entered their solar system. ,KIRK
"You either believe in yourself, or you don't. All right Childress, I've gone as far with you as I intend to. I want those lithium crystals and I want them now. Enterprise, this is Kirk. ",KIRK
"And destroy them, just as you're burning that one up now.",MCCOY
Kirk here. What is it? ,KIRK
"No cloud formations, no bodies of water, no changes in surface temperature. Under these conditions, fog is highly unlikely, Captain.",SPOCK
"Mister Sulu, do you verify? ",SPOCK
How is she? ,KIRK
Good. Repeat procedure for maximum effect. ,KIRK
Impossible to determine without programming for computer analysis. ,SPOCK
"I do have an excellent eye for musical notes, Captain. They would seem to indicate that this series of relays activated in their proper  KIRK: Spock, just press the right button. ",SPOCK
"Gentlemen, we're debating in a vacuum. Let's go get some answers.",KIRK
"It can wait, Doctor. My duties require my immediate presence on the bridge. ",SPOCK
To destroy it. A narrow beam concentrated on a single spot will split that mass. ,SPOCK
"Your Excellency, even with intricate machinery as delicately balanced as ours, there is still a margin for error which must be dealt with. ",SPOCK
Where is he? ,KIRK
How much time do we have? ,KIRK
Kirk here. ,KIRK
What's this? ,MCCOY
"It's now very clear you know each other extremely well, gentlemen. The only service this ship can offer is to bring you together. It is not a battlefield. ",KIRK
Odd. The expression on that man's face. The mindlessness. Vacant contentment. ,SPOCK
What? What? What's quadrotriticale? (Lurry hands him a small packet) Wheat. So what? ,KIRK
Nothing identifiable. The craft appears to be built for speed rather than combat. ,SPOCK
"Yes, but terraforming usually follows a pattern. This seems like random choice. ",KIRK
Oh. (sitting up) My neck feels like it's been twisted off. ,KIRK
"You'll learn to care for yourselves, with our help. And there's no trick to putting fruit on trees. You might enjoy it. You'll learn to build for yourselves, think for yourselves, work for yourselves, and what you create is yours. That's what we call freedom. You'll like it, a lot. And you'll learn something about men and women, the way they're supposed to be. Caring for each other, being happy with each other, being good to each other. That's what we call love. You'll like that, too, a lot. You and your children. ",KIRK
"Scotty, we've got six.",KIRK
"Henoch, your condition? ",KIRK
"Oh. Assuming that you are correct in your belief, do you expect Starfleet Command to place this er, this er, person in command of the Enterprise? ",KIRK
"I had hoped to meet your father, here, tonight, personally. ",KIRK
To be so obsessed. ,MCCOY
"This fellow made these notes in the last weeks after the disaster began. I disregard these last entries. He said himself he was too sick, too far gone to be sure he wasn't already mad, and I agree, but based on the entries he made before that, I know how much time we have. The ship's computers will verify my figures. ",SPOCK
"The power of this intruder to disrupt every cell in a body, combined with the almost inconceivable power required to hurl the Enterprise such a distance, speak of a very high culture and a very great danger. ",SPOCK
Shuttlecraft? ,KIRK
Hold it. It's a communication device. ,KIRK
It's a tri-ox compound. It'll help you breathe. Now be careful! ,MCCOY
"There isn't time, Doctor. I must decipher those obelisk's symbols. They're a highly advanced form of cipher writing. ",SPOCK
I know every sound that this ship might make. That's coming from outside. ,KIRK
"I'm in command, Bones. It makes it my fault. How do you fight a thing like that? ",KIRK
Computer. Criminological files. Cases of unsolved mass murders of women since Jack the Ripper. ,KIRK
"Nothing. Not even insects. Yet your plants grow, and you've survived exposure to Berthold rays. ",SPOCK
"Gary, forgive me. ",KIRK
"Feeling fine. So is Scotty. The serum worked. He pulled a muscle during the reaction, but otherwise he's feeling fine. ",MCCOY
I can't seem to stand up. ,KIRK
Bridge to Engineering. Negative effect on power reduction. Speed is still increasing. ,SPOCK
"Are you trying to kill me, Spock? Is that what you really want?",MCCOY
"You said they were imitative, and the book  OXMYX: I don't want any more cracks about the Book. ",MCCOY
"Lieutenant, let's see what the scanners have come up with on the cloud's composition. ",KIRK
By killing seven innocent men. ,KIRK
A mechanical device of unknown properties. I read no life forms aboard. ,SPOCK
"He belongs in jail, which is where I thought I left you, Mudd. ",KIRK
It's faster than walking. ,KIRK
Spock? ,MCCOY
McCoy to Bridge. Captain there? ,MCCOY
And they'll get their answers if it kills us. ,KIRK
All right. All right. ,KIRK
"You're frightening her, Jim.",MCCOY
Yes. Why? ,KIRK
"Back to that bed, bucko. Come on, let's go. ",MCCOY
"Why is Flint playing tricks on us? Apparently we're supposed to go in and get it, if we can. Well, let's not disappoint the chess master. Phasers on full. ",KIRK
Kirk here.,KIRK
"Scan us and lock on to us. It's going to be close. Very, very close. Stand by. Stand by, Enterprise. ",KIRK
You still haven't made any recommendation. ,KIRK
Will you try for one moment to feel? At least act like you've got a heart. We're talking about Gary. ,KIRK
Scanners operative on the planet's surface? ,KIRK
"I can't identify it without a medi-comp. Without knowing, an antidote would be dangerous. ",MCCOY
"Mister Sulu, what is our position? ",SPOCK
Any meetings or discussions can be held aboard the Enterprise. ,KIRK
You don't think you're going? ,MCCOY
A miniscule. A very small piece. ,SPOCK
Will it take us to McCoy? ,KIRK
That's only one shield. ,KIRK
I've loved you.,KIRK
Hang on. D'Amato's section. Come in. Kirk to D'Amato. Come in.,KIRK
I'm sorry. I'm sorry. You'll go up with the doctor. ,KIRK
We'll bombard the unpopulated pressure areas with phaser beams and change the epicentre of the quake so it won't endanger your people or your city. ,KIRK
"All that bloodshed for nothing. That'll be sufficient, Mister Spock. ",KIRK
"You were attacked by something. When it happened, did you notice an odour of any kind? Rizzo. Rizzo! Do you remember a sickly sweet odour? Did you smell it? ",KIRK
"Whatever the Melkotians have planned for us, it won't be pleasant. These could be useful. Just remember one thing. To individuals at close range, these could be as deadly as phasers. ",KIRK
"Dismissed, Doctor. ",KIRK
"Well, at least I lived long enough to hear that. Is there anything we can do? ",MCCOY
Put it down. ,KIRK
You haven't answered my question. Where is Mister Sulu?,SPOCK
"It seems that we may look at it, Captain, but that is all. ",SPOCK
"Thank you, Mister Sulu. Yeoman Atkins, you handed Captain Kirk a fuel consumption report in the presence of witnesses, which he read and signed. Is that correct? ",SPOCK
"Captain, our last bit of information was obtained at the expense of thirty hours work in fused and burned circuits. ",SPOCK
Powerful enough to destroy a starship? Affirmative. ,SPOCK
We're less cold-blooded about it than you are. ,KIRK
Can you do anything for her? ,KIRK
"Damaged, they age incredibly fast, as though accelerated living  DEELA: Burns them out. ",KIRK
"If you care to leave your ship, we'll provide the necessary life support systems. ",KIRK
"Do you want me to stop, Jim? It'll only take a minute. ",MCCOY
Computer control. Lock on to shuttlecraft following us.,SPOCK
"Cover him with our deflector screen, Mister Farrell. Scotty, Spock, stand by in the transporter room. ",KIRK
